year,state,district,crop,season,area_ha,yield_kg_per_ha,production_tonnes,rainfall_mm,max_temp_c,min_temp_c,irrigation_percent,fertilizer_kg_per_ha
1990,Tamil Nadu,Viluppuram,Rice,Samba,48498.76,3645.18,176786.91,423.2,33.1,20.6,78.7,101.4
1990,Tamil Nadu,Viluppuram,Rice,Navarai,13589.11,3396.2,46151.29,558.9,37.2,25.1,55.5,188.8
1990,Tamil Nadu,Kallakurichi,Rice,Kuruvai,10168.91,4737.97,48179.97,1660.6,34.3,21.4,61.0,200.7
1990,Tamil Nadu,Kallakurichi,Rice,Samba,52436.44,5032.74,263899.18,626.3,37.0,23.2,40.6,88.3
1990,Tamil Nadu,Kallakurichi,Rice,Navarai,45252.5,4128.8,186838.72,1312.7,30.2,24.0,54.2,128.6
1990,Tamil Nadu,Vellore,Rice,Kuruvai,46759.76,4299.41,201039.3,914.8,30.7,20.7,98.4,140.8
1990,Tamil Nadu,Vellore,Rice,Samba,41703.06,4956.16,206687.06,1089.5,30.0,24.1,56.8,74.4
1990,Tamil Nadu,Vellore,Rice,Navarai,76452.5,4637.59,354555.21,918.2,28.2,25.5,65.7,244.0
1990,Tamil Nadu,Ranipet,Rice,Kuruvai,68537.52,4972.23,340784.67,637.3,33.6,25.6,81.8,172.6
1990,Tamil Nadu,Ranipet,Rice,Samba,13786.47,5391.65,74331.79,1628.3,35.4,23.9,82.1,134.7
1990,Tamil Nadu,Ranipet,Rice,Navarai,69764.57,4984.71,347756.24,1115.9,33.0,24.6,79.0,196.4
1990,Tamil Nadu,Tirupathur,Rice,Kuruvai,10236.61,4782.55,48957.14,450.3,32.7,22.8,57.2,176.3
1990,Tamil Nadu,Tirupathur,Rice,Samba,30734.68,4445.11,136619.05,1131.1,35.7,20.5,77.4,85.4
1990,Tamil Nadu,Tirupathur,Rice,Navarai,52082.1,4371.86,227695.77,1766.2,33.2,21.3,87.7,118.7
1990,Tamil Nadu,Tiruvannamalai,Rice,Kuruvai,67370.47,3605.08,242875.81,972.5,29.7,20.1,55.0,168.9
1990,Tamil Nadu,Tiruvannamalai,Rice,Samba,76524.63,4363.37,333904.88,1176.1,34.1,21.9,54.9,134.1
1990,Tamil Nadu,Tiruvannamalai,Rice,Navarai,6542.2,3209.28,20995.77,1597.6,35.0,22.3,45.9,158.5
1990,Tamil Nadu,Salem,Rice,Kuruvai,50420.46,3704.17,186765.73,463.4,31.7,23.4,70.2,224.2
1990,Tamil Nadu,Salem,Rice,Samba,52466.28,3851.96,202097.86,1220.1,37.4,23.0,63.3,185.8
1990,Tamil Nadu,Salem,Rice,Navarai,32729.9,4092.72,133954.31,1667.5,30.0,19.5,46.0,73.3
1990,Tamil Nadu,Namakkal,Rice,Kuruvai,68055.4,3044.31,207181.47,1540.3,30.8,19.8,81.8,183.2
1990,Tamil Nadu,Namakkal,Rice,Samba,24716.66,3426.29,84686.51,1450.9,36.1,25.9,64.8,137.0
1990,Tamil Nadu,Namakkal,Rice,Navarai,69097.78,3133.36,216508.02,1451.2,35.5,19.7,94.2,160.9
1990,Tamil Nadu,Dharmapuri,Rice,Kuruvai,3834.5,4589.81,17599.63,527.8,31.2,25.7,97.0,173.2
1990,Tamil Nadu,Dharmapuri,Rice,Samba,28307.17,5051.57,142995.73,1453.3,35.9,24.5,45.5,159.0
1990,Tamil Nadu,Dharmapuri,Rice,Navarai,71353.22,4199.58,299653.66,563.9,29.4,24.3,77.1,88.2
1990,Tamil Nadu,Krishnagiri,Rice,Kuruvai,57380.65,3051.2,175079.56,518.8,37.9,21.6,62.2,216.3
1990,Tamil Nadu,Krishnagiri,Rice,Samba,31971.99,3485.32,111432.63,1488.0,33.6,22.0,94.4,90.0
1990,Tamil Nadu,Krishnagiri,Rice,Navarai,7335.35,2804.56,20572.46,564.5,34.5,24.2,75.0,243.2
1990,Tamil Nadu,Erode,Rice,Kuruvai,77168.14,3362.99,259515.88,1757.8,28.4,25.2,71.7,248.7
1990,Tamil Nadu,Erode,Rice,Samba,43278.53,4113.81,178039.88,1374.0,32.5,23.4,75.1,232.2
1990,Tamil Nadu,Erode,Rice,Navarai,71550.31,3705.35,265118.64,1268.2,30.8,20.3,67.8,133.6
1990,Tamil Nadu,Tiruppur,Rice,Kuruvai,56758.45,3812.89,216413.52,833.3,36.1,23.8,49.8,234.0
1990,Tamil Nadu,Tiruppur,Rice,Samba,50232.97,4722.1,237205.33,1705.8,36.7,19.3,41.6,137.8
1990,Tamil Nadu,Tiruppur,Rice,Navarai,48748.07,3592.93,175148.36,1757.9,36.4,24.9,68.1,144.7
1990,Tamil Nadu,Coimbatore,Rice,Kuruvai,79978.26,3382.15,270498.34,1177.6,35.7,25.6,91.0,114.5
1990,Tamil Nadu,Coimbatore,Rice,Samba,49675.45,3517.42,174729.4,1340.4,34.2,21.5,46.8,190.9
1990,Tamil Nadu,Coimbatore,Rice,Navarai,68617.98,3308.62,227030.52,1185.3,36.8,21.8,48.0,75.2
1990,Tamil Nadu,The Nilgiris,Rice,Kuruvai,13500.6,4261.48,57532.56,890.8,33.9,21.7,66.2,232.7
1990,Tamil Nadu,The Nilgiris,Rice,Samba,33533.79,4917.32,164896.38,1607.3,37.5,20.0,95.6,158.6
1990,Tamil Nadu,The Nilgiris,Rice,Navarai,40931.59,4419.76,180907.79,1286.8,30.4,19.5,47.7,93.0
1990,Tamil Nadu,Karur,Rice,Kuruvai,29616.38,3162.94,93674.7,1063.5,34.7,20.2,51.5,77.4
1990,Tamil Nadu,Karur,Rice,Samba,9830.1,3311.29,32550.34,1045.1,30.1,21.5,70.2,194.3
1990,Tamil Nadu,Karur,Rice,Navarai,9295.45,3235.94,30079.48,1689.2,28.6,20.9,88.4,204.7
1990,Tamil Nadu,Dindigul,Rice,Kuruvai,50605.62,3096.8,156715.47,1047.5,35.5,19.3,55.1,198.4
1990,Tamil Nadu,Dindigul,Rice,Samba,11252.24,3608.54,40604.23,1145.7,30.4,20.9,62.6,73.6
1990,Tamil Nadu,Dindigul,Rice,Navarai,12221.68,3147.49,38467.59,1231.0,34.8,24.5,69.9,85.6
1990,Tamil Nadu,Theni,Rice,Kuruvai,12823.68,3938.39,50504.66,908.3,34.5,23.0,61.4,247.6
1990,Tamil Nadu,Theni,Rice,Samba,14770.15,4112.0,60734.94,625.0,29.9,21.0,50.4,231.4
1990,Tamil Nadu,Theni,Rice,Navarai,78643.15,3569.8,280740.59,957.0,37.7,25.1,89.0,116.4
1990,Tamil Nadu,Madurai,Rice,Kuruvai,47014.18,3269.22,153699.6,1477.3,29.9,21.3,65.5,161.4
1990,Tamil Nadu,Madurai,Rice,Samba,25224.55,3426.95,86443.4,616.1,32.8,22.7,43.1,130.6
1990,Tamil Nadu,Madurai,Rice,Navarai,27821.25,3440.14,95708.97,756.5,34.8,24.3,75.7,154.9
1990,Tamil Nadu,Virudhunagar,Rice,Kuruvai,77307.07,3504.6,270930.3,1423.2,37.4,20.3,44.0,203.4
1990,Tamil Nadu,Virudhunagar,Rice,Samba,64235.58,4178.02,268377.55,629.1,29.6,24.7,79.9,164.2
1990,Tamil Nadu,Virudhunagar,Rice,Navarai,65878.16,3454.07,227547.46,927.7,32.6,21.1,84.9,160.5
1990,Tamil Nadu,Ramanathapuram,Rice,Kuruvai,72798.35,3630.0,264258.33,563.7,37.4,23.4,60.1,95.1
1990,Tamil Nadu,Ramanathapuram,Rice,Samba,71829.73,3895.94,279844.07,612.3,31.1,20.7,84.6,76.0
1990,Tamil Nadu,Ramanathapuram,Rice,Navarai,29340.29,3509.62,102973.43,554.9,36.5,19.9,63.8,213.5
1990,Tamil Nadu,Sivaganga,Rice,Kuruvai,52368.37,3143.13,164600.36,1159.8,30.5,21.4,50.9,233.5
1990,Tamil Nadu,Sivaganga,Rice,Samba,75940.82,3376.98,256450.63,1220.7,33.1,23.3,41.1,227.0
1990,Tamil Nadu,Sivaganga,Rice,Navarai,74032.45,3214.96,238011.24,613.6,33.8,23.2,65.4,202.6
1990,Tamil Nadu,Tiruchirappalli,Rice,Kuruvai,78832.77,5229.22,412233.99,574.5,37.2,25.1,71.1,176.4
1990,Tamil Nadu,Tiruchirappalli,Rice,Samba,64819.72,4665.56,302420.56,866.9,32.0,22.8,95.2,132.3
1990,Tamil Nadu,Tiruchirappalli,Rice,Navarai,20294.57,4447.43,90258.69,597.2,29.8,22.5,65.1,234.7
1990,Tamil Nadu,Perambalur,Rice,Kuruvai,54092.38,3558.32,192477.88,1745.5,29.5,21.9,45.1,249.4
1990,Tamil Nadu,Perambalur,Rice,Samba,60746.96,3939.74,239326.98,1657.3,30.1,20.3,42.2,155.0
1990,Tamil Nadu,Perambalur,Rice,Navarai,37903.24,3608.15,136760.57,1017.1,32.0,22.9,49.3,102.7
1990,Tamil Nadu,Ariyalur,Rice,Kuruvai,52587.96,4876.65,256453.29,435.5,29.6,24.0,79.5,74.9
1990,Tamil Nadu,Ariyalur,Rice,Samba,4517.71,4693.81,21205.29,1519.9,29.8,23.6,54.3,87.9
1990,Tamil Nadu,Ariyalur,Rice,Navarai,66926.93,4573.81,306111.21,1335.3,30.0,21.1,93.8,72.3
1990,Tamil Nadu,Thanjavur,Rice,Kuruvai,137456.23,2929.6,402691.13,1649.7,36.2,21.4,55.6,138.3
1990,Tamil Nadu,Thanjavur,Rice,Samba,111411.75,3315.69,369406.83,1010.6,30.9,25.6,85.8,95.2
1990,Tamil Nadu,Thanjavur,Rice,Navarai,169978.29,3097.52,526511.27,431.5,30.7,22.8,78.0,116.4
1990,Tamil Nadu,Tiruvarur,Rice,Kuruvai,75751.89,3284.93,248839.45,425.7,37.1,19.8,74.6,119.3
1990,Tamil Nadu,Tiruvarur,Rice,Samba,80963.19,3423.09,277144.16,591.6,37.0,25.1,75.8,178.1
1990,Tamil Nadu,Tiruvarur,Rice,Navarai,112815.58,3198.8,360873.99,1126.5,28.5,20.2,84.3,84.9
1990,Tamil Nadu,Nagapattinam,Rice,Kuruvai,103350.91,4026.79,416172.43,816.0,33.7,22.3,79.8,238.6
1990,Tamil Nadu,Nagapattinam,Rice,Samba,89339.61,4383.2,391593.54,472.0,33.0,23.2,60.1,208.8
1990,Tamil Nadu,Nagapattinam,Rice,Navarai,124323.7,4110.82,511072.69,1008.8,30.5,24.7,88.0,195.0
1990,Tamil Nadu,Mayiladuthurai,Rice,Kuruvai,187597.04,3376.41,633404.02,1730.3,32.5,20.3,72.5,227.1
1990,Tamil Nadu,Mayiladuthurai,Rice,Samba,153841.48,4111.83,632570.34,749.5,32.9,20.5,99.3,239.9
1990,Tamil Nadu,Mayiladuthurai,Rice,Navarai,77086.3,3528.36,271988.28,1681.7,28.3,23.9,57.8,236.4
1990,Tamil Nadu,Pudukkottai,Rice,Kuruvai,68030.3,5054.78,343878.27,1560.5,28.4,23.2,53.8,91.7
1990,Tamil Nadu,Pudukkottai,Rice,Samba,58807.04,5221.05,307034.3,841.4,33.4,24.5,59.1,182.7
1990,Tamil Nadu,Pudukkottai,Rice,Navarai,4878.86,4535.36,22127.38,429.8,36.7,22.7,96.3,213.8
1990,Tamil Nadu,Thoothukudi,Rice,Kuruvai,39950.42,4819.78,192552.21,1623.1,37.8,24.4,65.1,145.8
1990,Tamil Nadu,Thoothukudi,Rice,Samba,30305.91,5064.7,153490.43,814.8,30.3,19.3,41.1,247.8
1990,Tamil Nadu,Thoothukudi,Rice,Navarai,19805.55,4969.79,98429.52,1500.9,28.9,21.9,92.7,240.1
1990,Tamil Nadu,Tirunelveli,Rice,Kuruvai,20838.72,4076.19,84942.49,1309.5,34.1,22.6,53.8,101.8
1990,Tamil Nadu,Tirunelveli,Rice,Samba,29959.64,3866.0,115823.9,1756.7,36.8,25.5,99.7,101.3
1990,Tamil Nadu,Tirunelveli,Rice,Navarai,14849.98,3874.0,57528.78,714.2,30.2,22.8,75.6,174.4
1990,Tamil Nadu,Tenkasi,Rice,Kuruvai,71433.6,3433.24,245248.34,1607.0,36.1,23.6,73.1,85.7
1990,Tamil Nadu,Tenkasi,Rice,Samba,58703.35,3359.53,197215.44,513.5,30.2,23.8,44.6,223.2
1990,Tamil Nadu,Tenkasi,Rice,Navarai,66500.43,2942.89,195703.47,1349.2,33.7,20.9,92.7,213.5
1990,Tamil Nadu,Kanniyakumari,Rice,Kuruvai,67450.03,4523.59,305116.5,1352.2,34.2,24.3,49.5,228.6
1990,Tamil Nadu,Kanniyakumari,Rice,Samba,12922.98,4264.35,55108.14,1440.9,29.6,24.7,89.9,161.3
1990,Tamil Nadu,Kanniyakumari,Rice,Navarai,78551.34,4122.48,323826.56,763.7,34.3,22.8,86.8,89.3
1991,Tamil Nadu,Chennai,Rice,Kuruvai,51711.89,4640.26,239956.51,543.5,37.4,23.8,44.1,124.2
1991,Tamil Nadu,Chennai,Rice,Samba,29633.0,4634.53,137334.97,464.0,36.7,25.8,98.1,204.9
1991,Tamil Nadu,Chennai,Rice,Navarai,4703.51,3801.81,17881.87,1084.1,35.7,23.8,66.8,119.3
1991,Tamil Nadu,Kanchipuram,Rice,Kuruvai,64200.34,4919.6,315840.04,709.1,28.8,23.8,79.3,119.2
1991,Tamil Nadu,Kanchipuram,Rice,Samba,75658.43,5079.08,384275.17,1293.9,32.0,20.9,99.0,143.7
1991,Tamil Nadu,Kanchipuram,Rice,Navarai,5397.32,4482.74,24194.81,915.9,36.6,22.3,98.1,103.4
1991,Tamil Nadu,Chengalpattu,Rice,Kuruvai,61598.85,4888.33,301115.57,583.7,28.3,25.4,77.0,213.4
1991,Tamil Nadu,Chengalpattu,Rice,Samba,55788.53,4798.97,267727.73,680.7,32.9,19.4,74.9,118.4
1991,Tamil Nadu,Chengalpattu,Rice,Navarai,3894.78,4174.55,16258.97,949.5,32.8,23.2,57.5,195.1
1991,Tamil Nadu,Thiruvallur,Rice,Kuruvai,11079.62,4688.25,51944.01,1781.3,29.4,22.5,77.1,196.4
1991,Tamil Nadu,Thiruvallur,Rice,Samba,42863.8,4543.67,194759.01,890.9,28.3,19.6,63.8,93.9
1991,Tamil Nadu,Thiruvallur,Rice,Navarai,18411.57,4437.86,81707.93,546.4,34.4,23.9,41.9,238.5
1991,Tamil Nadu,Cuddalore,Rice,Kuruvai,57984.69,3145.31,182379.74,875.2,36.1,19.6,93.7,168.6
1991,Tamil Nadu,Cuddalore,Rice,Samba,43533.0,3399.78,148002.53,514.3,28.6,20.7,49.6,226.9
1991,Tamil Nadu,Cuddalore,Rice,Navarai,17023.08,2883.37,49083.91,1322.2,33.0,22.9,83.2,111.1
1991,Tamil Nadu,Viluppuram,Rice,Kuruvai,55377.57,5012.46,277578.15,442.9,30.6,22.2,92.1,200.9
1991,Tamil Nadu,Viluppuram,Rice,Samba,31569.98,5584.25,176294.75,456.2,36.7,23.1,66.3,200.5
1991,Tamil Nadu,Viluppuram,Rice,Navarai,35472.51,4820.56,170997.44,1229.3,37.1,20.5,77.4,183.7
1991,Tamil Nadu,Kallakurichi,Rice,Kuruvai,16835.6,4009.93,67509.65,1760.0,29.8,25.0,69.5,114.5
1991,Tamil Nadu,Kallakurichi,Rice,Samba,30660.97,4820.86,147812.25,628.9,31.9,25.8,55.5,188.2
1991,Tamil Nadu,Kallakurichi,Rice,Navarai,77676.22,3875.69,301048.63,730.5,28.7,20.2,71.2,130.7
1991,Tamil Nadu,Vellore,Rice,Kuruvai,57421.85,4354.3,250031.68,634.7,28.4,24.2,79.8,155.4
1991,Tamil Nadu,Vellore,Rice,Samba,69856.89,5079.76,354856.07,556.7,30.7,19.4,71.9,238.6
1991,Tamil Nadu,Vellore,Rice,Navarai,74908.38,4206.93,315134.63,1110.1,28.4,20.0,99.2,243.7
1991,Tamil Nadu,Ranipet,Rice,Kuruvai,38014.97,3151.37,119799.29,1084.4,34.7,20.0,41.8,125.4
1991,Tamil Nadu,Ranipet,Rice,Samba,77683.23,2982.52,231691.7,1341.6,32.4,25.1,50.6,194.7
1991,Tamil Nadu,Ranipet,Rice,Navarai,41282.46,2907.91,120045.63,1616.5,33.7,19.2,95.9,194.1
1991,Tamil Nadu,Tirupathur,Rice,Kuruvai,53144.94,3908.63,207723.96,1321.0,38.0,19.3,98.6,143.2
1991,Tamil Nadu,Tirupathur,Rice,Samba,59860.59,5060.61,302931.35,965.8,31.3,23.7,88.5,207.2
1991,Tamil Nadu,Tirupathur,Rice,Navarai,12256.1,4263.55,52254.49,408.1,31.2,21.6,63.8,195.2
1991,Tamil Nadu,Tiruvannamalai,Rice,Kuruvai,20499.76,3506.43,71880.9,1244.8,34.7,23.3,67.8,138.4
1991,Tamil Nadu,Tiruvannamalai,Rice,Samba,4974.44,4016.6,19980.31,932.3,32.0,23.1,72.0,179.4
1991,Tamil Nadu,Tiruvannamalai,Rice,Navarai,76575.32,3451.75,264318.61,674.1,28.1,23.5,93.9,113.8
1991,Tamil Nadu,Salem,Rice,Kuruvai,10809.4,4417.33,47748.65,759.5,30.8,21.2,88.2,167.0
1991,Tamil Nadu,Salem,Rice,Samba,23992.05,5265.79,126336.98,570.6,29.8,23.8,50.9,164.5
1991,Tamil Nadu,Salem,Rice,Navarai,22755.33,4761.02,108338.63,1077.0,36.1,22.9,42.6,184.0
1991,Tamil Nadu,Namakkal,Rice,Kuruvai,20562.14,4726.95,97196.23,1255.4,32.1,24.9,94.0,133.6
1991,Tamil Nadu,Namakkal,Rice,Samba,66341.3,5448.64,361470.01,1334.6,29.0,23.4,67.1,175.6
1991,Tamil Nadu,Namakkal,Rice,Navarai,19688.96,4619.29,90949.04,433.1,34.4,23.2,72.8,111.8
1991,Tamil Nadu,Dharmapuri,Rice,Kuruvai,13505.86,3823.4,51638.25,966.0,32.3,24.0,81.5,248.4
1991,Tamil Nadu,Dharmapuri,Rice,Samba,47535.79,3763.51,178901.61,511.2,28.9,25.3,51.5,128.2
1991,Tamil Nadu,Dharmapuri,Rice,Navarai,42967.6,3121.01,134102.32,1520.5,30.3,22.8,92.8,187.2
1991,Tamil Nadu,Krishnagiri,Rice,Kuruvai,79548.73,3929.35,312575.08,1180.9,35.3,22.3,43.6,171.2
1991,Tamil Nadu,Krishnagiri,Rice,Samba,18471.89,4198.25,77549.64,535.3,32.5,24.3,60.9,189.7
1991,Tamil Nadu,Krishnagiri,Rice,Navarai,33747.33,3482.72,117532.43,1789.5,37.3,22.8,90.5,163.8
1991,Tamil Nadu,Erode,Rice,Kuruvai,66607.21,3998.61,266336.25,1392.2,28.4,21.1,55.8,134.8
1991,Tamil Nadu,Erode,Rice,Samba,26525.37,4806.17,127485.36,1026.1,34.0,22.6,95.2,159.5
1991,Tamil Nadu,Erode,Rice,Navarai,74655.83,3608.34,269383.59,1544.4,31.8,25.1,92.1,215.1
1991,Tamil Nadu,Tiruppur,Rice,Kuruvai,16361.39,4426.85,72429.45,884.5,37.8,23.5,89.3,93.9
1991,Tamil Nadu,Tiruppur,Rice,Samba,49681.48,5365.46,266563.75,644.8,33.0,21.8,48.8,136.2
1991,Tamil Nadu,Tiruppur,Rice,Navarai,77159.86,4015.67,309848.43,1752.2,32.3,21.2,70.4,149.1
1991,Tamil Nadu,Coimbatore,Rice,Kuruvai,53065.48,3095.29,164252.95,485.9,35.8,22.2,43.5,249.1
1991,Tamil Nadu,Coimbatore,Rice,Samba,21416.87,3427.81,73413.01,569.9,31.0,19.7,81.5,81.2
1991,Tamil Nadu,Coimbatore,Rice,Navarai,50371.9,3068.89,154585.8,1273.5,33.3,22.0,47.8,229.6
1991,Tamil Nadu,The Nilgiris,Rice,Kuruvai,66720.42,3717.37,248024.7,1477.0,28.1,21.9,68.9,73.5
1991,Tamil Nadu,The Nilgiris,Rice,Samba,44218.88,4231.12,187095.24,417.0,30.4,25.8,88.1,242.7
1991,Tamil Nadu,The Nilgiris,Rice,Navarai,37987.05,3769.73,143201.12,537.3,32.9,20.1,59.5,202.7
1991,Tamil Nadu,Karur,Rice,Kuruvai,63446.27,3937.68,249830.85,1737.5,35.9,21.2,81.3,148.8
1991,Tamil Nadu,Karur,Rice,Samba,72435.67,4444.45,321936.61,1292.1,34.6,25.3,78.2,180.5
1991,Tamil Nadu,Karur,Rice,Navarai,59782.4,3461.1,206912.71,1352.3,28.4,19.6,83.0,83.0
1991,Tamil Nadu,Dindigul,Rice,Kuruvai,30200.36,2783.25,84055.13,889.6,35.7,23.6,51.1,101.3
1991,Tamil Nadu,Dindigul,Rice,Samba,23408.57,3296.53,77167.1,515.0,37.7,21.1,86.2,182.4
1991,Tamil Nadu,Dindigul,Rice,Navarai,50356.0,2810.29,141515.12,1301.5,33.3,19.3,98.1,213.8
1991,Tamil Nadu,Theni,Rice,Kuruvai,60601.63,3880.87,235187.34,1319.1,29.3,21.4,95.7,110.4
1991,Tamil Nadu,Theni,Rice,Samba,50196.35,3997.17,200643.39,737.0,29.2,20.4,93.2,186.2
1991,Tamil Nadu,Theni,Rice,Navarai,68181.6,3667.32,250043.51,753.1,35.6,22.2,90.5,201.1
1991,Tamil Nadu,Madurai,Rice,Kuruvai,78819.57,4756.41,374897.92,460.4,29.6,19.9,83.6,217.2
1991,Tamil Nadu,Madurai,Rice,Samba,59425.72,4931.35,293048.78,1226.5,33.1,21.1,73.9,194.0
1991,Tamil Nadu,Madurai,Rice,Navarai,15325.52,4383.81,67184.2,413.1,30.5,24.1,99.5,87.9
1991,Tamil Nadu,Virudhunagar,Rice,Kuruvai,59446.49,3933.89,233856.0,663.2,31.6,24.5,73.3,70.9
1991,Tamil Nadu,Virudhunagar,Rice,Samba,18591.0,4008.26,74517.48,915.1,31.3,20.0,58.3,227.8
1991,Tamil Nadu,Virudhunagar,Rice,Navarai,58599.46,3632.23,212846.72,1230.3,31.9,21.9,81.7,70.6
1991,Tamil Nadu,Ramanathapuram,Rice,Kuruvai,48291.57,4043.71,195276.89,1299.3,28.6,23.1,73.7,170.9
1991,Tamil Nadu,Ramanathapuram,Rice,Samba,23776.2,4833.16,114914.11,1097.6,28.8,19.4,60.1,211.3
1991,Tamil Nadu,Ramanathapuram,Rice,Navarai,36895.32,3803.08,140315.71,859.5,32.3,19.6,53.2,177.7
1991,Tamil Nadu,Sivaganga,Rice,Kuruvai,35436.1,4769.6,169015.92,1499.9,29.2,21.9,90.4,139.1
1991,Tamil Nadu,Sivaganga,Rice,Samba,30892.13,4796.99,148189.11,436.7,28.2,24.8,56.4,163.3
1991,Tamil Nadu,Sivaganga,Rice,Navarai,36083.57,4132.99,149132.95,1578.7,29.9,24.6,67.5,156.9
1991,Tamil Nadu,Tiruchirappalli,Rice,Kuruvai,36637.5,3055.77,111955.81,1471.7,29.6,23.3,48.1,205.2
1991,Tamil Nadu,Tiruchirappalli,Rice,Samba,7393.21,3663.51,27085.11,766.4,30.5,25.3,55.0,119.0
1991,Tamil Nadu,Tiruchirappalli,Rice,Navarai,8033.19,3161.5,25396.93,447.1,28.6,25.3,48.4,165.8
1991,Tamil Nadu,Perambalur,Rice,Kuruvai,54111.81,3817.27,206559.26,1184.2,37.4,19.4,65.1,116.8
1991,Tamil Nadu,Perambalur,Rice,Samba,53371.44,4263.05,227525.13,1191.5,32.6,25.8,76.5,132.9
1991,Tamil Nadu,Perambalur,Rice,Navarai,22324.43,3505.22,78252.14,1185.7,33.2,19.8,91.6,200.1
1991,Tamil Nadu,Ariyalur,Rice,Kuruvai,38289.15,3157.75,120907.37,632.1,37.5,24.9,80.1,153.2
1991,Tamil Nadu,Ariyalur,Rice,Samba,7795.03,3454.41,26927.2,1529.0,32.6,19.4,87.2,106.2
1991,Tamil Nadu,Ariyalur,Rice,Navarai,61269.87,2832.87,173569.47,686.8,36.8,25.2,92.2,113.0
1991,Tamil Nadu,Thanjavur,Rice,Kuruvai,59780.69,4084.25,244159.48,1672.9,33.4,22.5,46.3,188.2
1991,Tamil Nadu,Thanjavur,Rice,Samba,194671.5,4012.97,781211.27,1132.7,30.9,24.5,74.7,184.2
1991,Tamil Nadu,Thanjavur,Rice,Navarai,129954.33,3730.29,484767.99,1374.3,35.9,21.2,91.4,233.1
1991,Tamil Nadu,Tiruvarur,Rice,Kuruvai,77633.73,3879.06,301145.87,1316.0,29.5,22.1,76.9,85.0
1991,Tamil Nadu,Tiruvarur,Rice,Samba,195068.99,3959.31,772338.9,1777.8,34.7,23.4,50.0,228.7
1991,Tamil Nadu,Tiruvarur,Rice,Navarai,133963.35,3043.34,407696.41,1407.1,36.9,19.6,83.9,103.7
1991,Tamil Nadu,Nagapattinam,Rice,Kuruvai,97152.52,4822.28,468497.06,1550.3,32.6,21.5,69.7,219.1
1991,Tamil Nadu,Nagapattinam,Rice,Samba,173896.73,4657.63,809947.42,735.8,29.4,21.4,67.0,204.8
1991,Tamil Nadu,Nagapattinam,Rice,Navarai,176217.13,4256.58,750082.0,1770.7,34.3,19.9,80.6,128.5
1991,Tamil Nadu,Mayiladuthurai,Rice,Kuruvai,84076.93,4125.53,346862.15,791.0,34.4,23.9,70.8,125.0
1991,Tamil Nadu,Mayiladuthurai,Rice,Samba,147974.42,4598.5,680460.44,1619.7,35.7,24.5,79.9,116.9
1991,Tamil Nadu,Mayiladuthurai,Rice,Navarai,66648.42,4072.88,271451.06,1044.5,36.6,22.8,62.8,245.8
1991,Tamil Nadu,Pudukkottai,Rice,Kuruvai,73691.89,3042.8,224229.87,1601.7,30.9,25.4,85.2,214.9
1991,Tamil Nadu,Pudukkottai,Rice,Samba,26465.83,3817.64,101037.15,794.1,36.7,19.8,82.2,167.3
1991,Tamil Nadu,Pudukkottai,Rice,Navarai,39095.13,2696.41,105416.35,1237.7,31.0,21.1,84.6,78.7
